0	0.00	0.00
1	4.50	0.00
2	9.00	0.00
3	13.50	0.00
4	18.00	0.00
5	22.50	0.00
6	27.00	0.00
7	31.50	0.00
8	36.00	0.00
9	0.00	4.50
10	4.50	4.50
11	9.00	4.50
12	13.50	4.50
13	18.00	4.50
14	22.50	4.50
15	27.00	4.50
16	31.50	4.50
17	36.00	4.50
18	0.00	9.00
19	4.50	9.00
20	9.00	9.00
21	13.50	9.00
22	18.00	9.00
23	22.50	9.00
24	27.00	9.00
25	31.50	9.00
26	36.00	9.00
27	0.00	13.50
28	4.50	13.50
29	9.00	13.50
30	13.50	13.50
31	18.00	13.50
32	22.50	13.50
33	27.00	13.50
34	31.50	13.50
35	36.00	13.50
36	0.00	18.00
37	4.50	18.00
38	9.00	18.00
39	13.50	18.00
40	18.00	18.00
41	22.50	18.00
42	27.00	18.00
43	31.50	18.00
44	36.00	18.00
45	0.00	22.50
46	4.50	22.50
47	9.00	22.50
48	13.50	22.50
49	18.00	22.50
50	22.50	22.50
51	27.00	22.50
52	31.50	22.50
53	36.00	22.50
54	0.00	27.00
55	4.50	27.00
56	9.00	27.00
57	13.50	27.00
58	18.00	27.00
59	22.50	27.00
60	27.00	27.00
61	31.50	27.00
62	36.00	27.00
63	0.00	31.50
64	4.50	31.50
65	9.00	31.50
66	13.50	31.50
67	18.00	31.50
68	22.50	31.50
69	27.00	31.50
70	31.50	31.50
71	36.00	31.50
72	0.00	36.00
73	4.50	36.00
74	9.00	36.00
75	13.50	36.00
76	18.00	36.00
77	22.50	36.00
78	27.00	36.00
79	31.50	36.00
80	36.00	36.00
