# milli_time node_id temp hum light
3786 123 2236 6563 29
3790 83 1934 6586 21
3803 72 2149 6458 55
3812 43 2408 6084 17
3839 131 1744 6883 36
3843 135 1960 6568 23
3854 74 2326 6522 2
3863 129 2144 6603 21
3873 71 2016 6486 27
3886 54 2037 6606 18
3929 81 2294 6475 2
3934 75 1927 6568 33
3943 76 1980 6514 1
3955 69 2380 6151 2
3978 48 1688 6629 23
4005 136 2165 6576 20
4006 138 1530 6935 23
4006 133 1538 7025 26
4015 137 2073 6615 4
4025 132 2259 6495 23
4031 134 1764 6539 0
4065 46 1876 6756 17
4076 55 1885 6602 25
4094 65 1958 6530 40
4098 42 2511 6030 23
4119 63 1805 6538 25
4121 73 1901 6606 46
4141 66 1880 6568 20
4190 82 2001 6524 18
4200 41 1813 6650 19
4218 40 2271 6172 21
4235 116 2068 6613 4
4248 122 1669 6833 19
4279 123 2239 6564 27
4283 83 1932 6583 22
4297 72 2147 6456 56
4305 43 2407 6082 15
4319 135 1958 6569 22
4331 131 1744 6886 33
4332 74 2326 6522 1
4350 129 2144 6605 24
4364 54 2034 6604 20
4367 71 2016 6484 28
4413 75 1928 6568 33
4422 81 2293 6474 2
4434 69 2379 6148 2
4436 76 1980 6515 2
4472 48 1687 6627 20
4491 136 2165 6575 19
4494 138 1532 6936 27
4500 133 1538 7029 25
4502 132 2261 6497 23
4509 137 2074 6616 4
4524 134 1764 6538 0
4559 46 1881 6754 14
4569 55 1884 6599 24
4572 65 1958 6532 37
4592 42 2509 6027 27
4598 73 1903 6610 46
4613 63 1805 6539 25
4634 66 1881 6570 19
4679 41 1814 6650 19
4684 82 2001 6526 19
4712 40 2273 6174 19
4713 116 2067 6612 4
4741 122 1666 6831 19
4761 83 1933 6587 21
4772 123 2239 6563 28
4784 43 2408 6082 16
4791 72 2149 6457 56
4812 135 1953 6568 19
4825 131 1742 6884 33
4825 74 2327 6522 1
4843 129 2142 6603 22
4857 54 2031 6606 20
4860 71 2017 6486 27
4907 75 1927 6568 33
4916 81 2293 6476 2
4928 69 2379 6150 2
4930 76 1980 6514 2
4949 48 1687 6629 22
4971 138 1532 6935 26
4985 136 2163 6573 20
4986 137 2073 6614 4
4993 133 1540 7025 25
4996 132 2259 6494 21
5002 134 1762 6538 2
5053 46 1886 6756 19
5067 65 1957 6529 36
5067 55 1886 6602 26
5085 42 2511 6028 20
5092 73 1901 6607 46
5107 63 1804 6538 27
5112 66 1881 6569 20
5173 41 1812 6649 19
5178 82 2000 6525 22
5190 40 2273 6173 17
5207 116 2067 6612 0
5219 122 1665 6833 19
5249 123 2242 6566 27
5255 83 1932 6584 21
5268 72 2147 6455 57
5276 43 2406 6081 14
5302 131 1743 6886 35
5305 135 1950 6569 22
5319 74 2326 6520 1
5337 129 2144 6604 23
5339 71 2017 6483 27
5351 54 2029 6604 20
5385 75 1928 6569 30
5393 81 2294 6475 1
5408 76 1980 6514 3
5422 69 2378 6147 2
5443 48 1686 6627 22
5464 138 1533 6937 27
5471 133 1542 7029 25
5478 136 2165 6574 20
5480 137 2073 6614 2
