# Time Mote_ID Temperature Motion CO2
49 5 361 2595 894
50 0 370 2546 910
50 1 281 2564 909
50 2 263 2621 894
50 3 378 2374 993
50 4 369 2658 921
50 5 361 2528 966
51 0 370 2519 910
51 1 280 2565 909
51 2 262 2621 895
51 3 378 2299 992
51 4 369 2658 921
51 5 361 2574 891
52 0 370 2479 909
52 1 280 2565 907
52 2 263 2621 894
52 3 378 2315 993
52 4 369 2658 920
52 5 361 2558 890
53 0 370 2508 910
53 1 280 2564 907
53 2 262 2623 894
53 3 378 2326 992
53 4 369 2658 921
53 5 361 2571 890
54 0 370 2503 909
54 1 280 2565 907
54 2 263 2622 894
54 3 378 2334 993
54 4 369 2658 921
54 5 361 2605 966
55 0 370 2551 909
55 1 280 2564 907
55 2 263 2619 894
55 3 378 2297 992
55 4 369 2658 921
55 5 361 2569 890
56 0 370 2564 911
56 1 280 2564 907
56 2 263 2622 898
56 3 378 2269 992
56 4 369 2658 921
56 5 361 2591 894
57 0 370 2503 910
57 1 280 2563 907
57 2 263 2620 898
57 3 377 2293 992
57 4 369 2658 921
57 5 361 2610 966
58 0 370 2466 909
58 1 280 2565 907
58 2 263 2620 895
58 3 377 2326 992
58 4 369 2658 921
58 5 361 2589 894
59 0 370 2542 910
59 1 280 2564 908
59 2 263 2591 894
59 3 377 2327 992
59 4 369 2658 921
59 5 361 2627 967
60 0 370 2512 910
60 1 280 2563 907
60 2 262 2620 895
60 3 377 2307 992
60 4 369 2658 923
60 5 361 2568 966
61 0 370 2517 911
61 1 280 2564 907
61 2 263 2621 894
61 3 377 2298 992
61 4 369 2657 921
61 5 361 2579 894
62 0 370 2485 910
62 1 280 2565 907
62 2 263 2621 895
62 3 377 2312 993
62 4 369 2658 921
62 5 361 2566 894
63 0 370 2514 910
63 1 281 2329 909
63 2 263 2566 895
63 3 377 2329 993
63 4 369 2658 921
63 5 361 2587 966
64 0 370 2547 910
64 1 281 2559 907
64 2 263 2621 895
64 3 377 2267 994
64 4 369 2658 920
64 5 361 2564 894
65 0 370 2547 910
65 1 281 2565 909
65 2 263 2621 895
65 3 378 2341 993
65 4 369 2658 921
65 5 361 2605 966
66 0 370 2568 909
66 1 281 2563 907
66 2 263 2621 895
66 3 377 2329 994
66 4 369 2657 920
66 5 361 2530 894
67 0 370 2502 909
67 1 281 2564 907
67 2 262 2620 895
67 3 377 2321 993
67 4 369 2658 921
67 5 361 2584 893
68 0 370 2509 911
68 1 281 2564 907
68 2 263 2620 895
68 3 377 2324 993
68 4 369 2658 920
68 5 361 2589 894
69 0 370 2508 910
69 1 280 2564 909
69 2 263 2616 895
69 3 377 2251 993
69 4 369 2658 921
69 5 361 2590 890
70 0 370 2534 909
70 1 281 2565 908
70 2 263 2622 895
70 3 377 2279 993
70 4 369 2658 921
70 5 361 2574 894
71 0 370 2527 911
71 1 281 2565 907
71 2 263 2621 894
71 3 377 2321 993
71 4 369 2658 921
71 5 361 2603 890
72 0 370 2472 910
72 1 281 2565 909
72 2 263 2621 895
72 3 377 2314 994
72 4 369 2658 921
72 5 361 2565 894
73 0 370 2506 911
73 1 281 2565 907
73 2 263 2621 895
73 3 377 2317 993
73 4 369 2658 920
73 5 361 2568 893
74 0 370 2534 909
74 1 281 2564 909
74 2 263 2616 898
74 3 377 2302 993
74 4 369 2658 921
74 5 361 2581 890
75 0 370 2532 909
75 1 281 2564 907
75 2 263 2620 895
75 3 377 2361 993
75 4 369 2658 921
75 5 361 2597 890
76 0 370 2521 910
76 1 281 2563 907
76 2 263 2620 895
76 3 377 2249 993
76 4 369 2658 921
76 5 361 2554 890
77 0 370 2522 910
77 1 281 2563 907
77 2 263 2621 894
77 3 377 2271 993
77 4 369 2658 921
77 5 361 2558 894
78 0 370 2449 910
78 1 281 2564 907
78 2 262 2621 898
78 3 377 2274 993
78 4 369 2658 921
78 5 361 2550 894
79 0 370 2542 911
79 1 281 2563 907
79 2 262 2622 895
79 3 377 2298 993
79 4 369 2656 921
79 5 361 2599 890
80 0 370 2514 910
80 1 281 2564 907
80 2 262 2622 895
80 3 377 2293 993
80 4 369 2658 921
80 5 361 2577 966
81 0 370 2518 910
81 1 281 2564 907
81 2 262 2620 895
81 3 377 2300 993
81 4 369 2657 921
81 5 361 2604 890
82 0 370 2538 909
82 1 281 2565 907
82 2 262 2622 895
82 3 377 2266 993
